gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FKBP4,7172.865619,-0.884285374,0.213819146,-4.135669754,3.54E-05,0.000141159
KDM1A,4838.71568,0.177802996,0.095867146,1.854681242,0.063641759,0.11616577
RBM6,1560.253323,0.053153403,0.121717038,0.436696489,0.662331476,0.754088124
CAMKK1,459.2423223,-0.160558132,0.274586189,-0.584727632,0.558730872,0.665514291
RECQL,2538.8693,-0.600910029,0.162830738,-3.690396759,0.000223905,0.000756787
HSPB6,23.67275833,0.804260377,0.315956917,2.545474825,0.010912923,0.024982869
ARHGAP33,370.8972167,1.00545868,0.268820485,3.740260637,0.00018383,0.000633526
NDUFAB1,2512.699814,1.006334419,0.13355589,7.534931034,4.89E-14,7.18E-13
PDK4,37.31121593,-0.654938248,0.554402299,-1.181341148,0.237467227,0.344026645
ZMYND10,39.64639662,2.601936532,0.318184142,8.177455085,2.90E-16,5.23E-15
ARX,14.42373852,-1.863579314,0.599604399,-3.108014747,0.001883487,0.005206421
SLC25A13,1787.580165,0.765116718,0.235568899,3.24795303,0.001162385,0.003368333
ST7,694.2878555,0.097847794,0.150941566,0.648249499,0.516823591,0.627614875
CDC27,2739.778667,-0.21292221,0.159036776,-1.33882373,0.180628064,0.276214782
SLC4A1,0.595950266,-1.237527365,1.147703956,-1.078263571,0.280916149,0.392418162
CALCR,1.81446257,-3.779050939,1.116650105,-3.384274916,0.000713665,0.002173508
HCCS,1478.12441,-0.495441324,0.120951678,-4.096192218,4.20E-05,0.00016504
DVL2,1880.399096,0.234706669,0.149536582,1.569560203,0.116517463,0.192304262
PRSS22,384.9606537,9.06467281,0.825772917,10.97719799,4.92E-28,1.94E-26
UPF1,3421.218474,-0.543174637,0.100719122,-5.392964364,6.93E-08,4.48E-07
SKAP2,1646.718893,1.541751983,0.231955723,6.646751205,3.00E-11,3.20E-10
SLC25A5,17637.8686,-0.387449791,0.122449859,-3.164150569,0.001555363,0.004378216
MCUB,922.5372688,-0.694877597,0.145839935,-4.764659265,1.89E-06,9.58E-06
HOXA11,62.07214008,-1.274064107,0.27030828,-4.713374331,2.44E-06,1.21E-05
POLR2J,1546.435442,0.240455974,0.125205226,1.920494703,0.054795442,0.102276198
DHX33,672.3301117,-0.185015699,0.215640484,-0.857982209,0.390902288,0.507861159
MEOX1,3.603899148,-1.142467303,0.781687043,-1.46154054,0.143867158,0.229276286
THSD7A,400.7664734,8.062754569,0.433801882,18.58626002,4.15E-77,1.30E-74
LIG3,1915.520643,-0.849428522,0.13529213,-6.27847699,3.42E-10,3.14E-09
RPAP3,1258.067366,0.859837584,0.182029509,4.723616442,2.32E-06,1.16E-05
ACSM3,15.34615071,-1.574488927,0.463700178,-3.395489161,0.000685061,0.002094701
REXO5,370.8275259,-0.139163566,0.133242052,-1.044441782,0.296281041,0.408765508
CIAPIN1,1956.829602,-0.493685038,0.137533795,-3.589554401,0.000331244,0.001081502
FAM214B,637.7057582,0.605966572,0.239424497,2.530929705,0.011376065,0.025912897
COPZ2,113.554187,-0.533485375,0.184241078,-2.895583223,0.003784547,0.009775654
PRKAR2B,465.4594859,-3.21086024,1.007457328,-3.18709304,0.001437105,0.004070057
MSL3,715.0954899,-0.342920656,0.093162292,-3.68089545,0.000232416,0.000782309
CREBBP,2428.162449,0.807145257,0.233930847,3.450358369,0.000559843,0.001744373
PON1,1.074652055,3.513261281,1.050503743,3.344358652,0.00082473,0.00247585
GCFC2,1334.329373,-0.590479904,0.148655557,-3.972134747,7.12E-05,0.000267581
WDR54,609.9687759,-1.052575459,0.188180546,-5.593433968,2.23E-08,1.55E-07
CROT,325.4239738,0.368518333,0.205409544,1.794066263,0.072802593,0.13017278
ABCB4,1.319528958,-0.531262227,1.015600629,-0.523101515,0.600903611,0.701903058
KMT2E,2026.373615,-0.437056753,0.178339892,-2.450695406,0.014258055,0.031682733
RHBDD2,3099.024499,-0.098699416,0.094194596,-1.047824621,0.294719417,0.407108178
SOX8,273.2284966,-2.141040933,0.343936619,-6.22510316,4.81E-10,4.34E-09
ZNF195,1519.339333,1.468195524,0.241489817,6.079740921,1.20E-09,1.02E-08
FBXL3,684.136803,0.262427933,0.213820316,1.227329272,0.219698858,0.323074534
PDK2,531.5575617,0.962306738,0.217640867,4.421535123,9.80E-06,4.36E-05
ITGA3,13107.34417,0.717828243,0.142512532,5.036948217,4.73E-07,2.66E-06
LAMP2,7043.890718,0.934134946,0.15225014,6.135527674,8.49E-10,7.35E-09
ITGA2B,1872.680881,-0.496600155,0.143852892,-3.452138839,0.000556161,0.001734511
ASB4,25.36805495,2.850857652,0.461559623,6.176575053,6.55E-10,5.79E-09
GDE1,8.928914211,3.076996228,0.807974944,3.808281745,0.000139936,0.000493975
REX1BD,3423.076541,1.442897337,0.123269427,11.70523273,1.20E-31,6.05E-30
CRLF1,494.9235581,-0.219092525,0.20526053,-1.067387505,0.285796888,0.397665195
OSBPL7,558.7785475,-2.784480059,0.438912356,-6.34404573,2.24E-10,2.11E-09
TMEM98,170.4984836,0.494978339,0.165938094,2.982909642,0.002855223,0.007588138
YBX2,14.12754159,6.261894148,0.854560511,7.327619363,2.34E-13,3.21E-12
KRT33A,768.6510197,10.65694714,0.641014365,16.62512999,4.58E-62,8.27E-60
MAP3K14,1352.654511,1.330843021,0.270605208,4.918024417,8.74E-07,4.68E-06
AP2B1,1249.867761,-0.785745794,0.157560301,-4.986952875,6.13E-07,3.38E-06
ZNF263,1792.632658,1.076679514,0.276172899,3.898570484,9.68E-05,0.000352978
CX3CL1,17424.08533,-0.41197809,0.083895328,-4.910620167,9.08E-07,4.85E-06
SPATA20,2.365967592,4.666799676,1.598591941,2.919318906,0.003507971,0.009119097
CACNA1G,1063.022324,0.763247847,0.16155011,4.724526951,2.31E-06,1.15E-05
TNFRSF12A,1193.507178,5.367346134,0.487958881,10.99958694,3.84E-28,1.52E-26
DLX6,2923.785733,-0.386280286,0.115161587,-3.354245954,0.000795816,0.002398425
MAP3K9,157.3314201,6.104399491,0.436287693,13.9916839,1.75E-44,1.69E-42
RALA,2094.269081,1.920972868,0.334823027,5.737278243,9.62E-09,7.13E-08
BAIAP2L1,69.38902017,0.508777868,0.325187956,1.564565534,0.117684816,0.193790547
KDM7A,349.5240851,0.846469245,0.2549738,3.319828334,0.000900728,0.002677674
ETV1,1878.765076,0.322237829,0.086728574,3.715474754,0.000202823,0.000692762
AGK,4322.79754,1.58489785,0.190444028,8.322118949,8.64E-17,1.64E-15
ALDH3B1,298.9921326,-0.754560841,0.333352608,-2.263551633,0.023601706,0.049486794
TTC22,434.1053307,-0.103298048,0.267082587,-0.386764442,0.698930604,0.783705138
PHTF2,1479.476205,-0.39344497,0.127287921,-3.09098433,0.001994942,0.005484007
CCL26,550.1406336,-0.959845163,0.144901786,-6.624108565,3.49E-11,3.70E-10
FARP2,1.076852842,3.508776669,1.890916678,1.8555956,0.063511221,0.115982642
USH1C,3073.309616,0.078449419,0.116813809,0.67157659,0.501853286,0.614377059
GGCT,2.501166315,1.889359979,0.702679389,2.688793792,0.00717107,0.017217488
DBF4,1272.926464,0.173717613,0.153256414,1.133509577,0.257000322,0.366263278
TBXA2R,6.818051019,-1.231698494,0.572306897,-2.152164339,0.031384413,0.063467885
IFRD1,1566.014151,-0.121064467,0.077910999,-1.553881585,0.120212665,0.197288254
LGALS14,1708.119845,-0.28372111,0.144321117,-1.965901559,0.049309983,0.093452502
