measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Child and maternal malnutrition,Percent,2019,0.11615198666782138,0.1311542402408895,0.10316916291199284
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Child and maternal malnutrition,Rate,2019,3809.7661675195764,4517.434096263288,3269.736983791344
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Child and maternal malnutrition,Percent,2019,0.134672457661968,0.15184164812187892,0.11992978630687491
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Child and maternal malnutrition,Rate,2019,4425.237366213221,5249.547154512417,3789.8070031218126
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Intimate partner violence,Number,2019,8497964.170677193,13256990.912465736,4440756.4434688315
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Intimate partner violence,Percent,2019,0.0033479649300210386,0.005140700627044221,0.0017736031002701567
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Intimate partner violence,Rate,2019,109.82879515374196,171.3350762650008,57.392914345334646
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Intimate partner violence,Percent,2019,0.00318031451775316,0.004905036979665702,0.001692079088789087
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Intimate partner violence,Rate,2019,104.49624391017419,163.2293279203728,54.66792238016828
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Tobacco,Number,2019,229772303.16066334,246398939.00530827,213076969.43039048
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Tobacco,Percent,2019,0.09068404449529062,0.09811202099367632,0.0826164544461814
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Tobacco,Rate,2019,2969.6071563720193,3184.491962379843,2753.834489947686
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Tobacco,Percent,2019,0.08508664872245837,0.09186622251409697,0.07752856954880998
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Tobacco,Rate,2019,2791.0354431153582,2993.0565889897466,2588.539126462119
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Alcohol use,Number,2019,92996235.2226489,105098270.32875778,82358722.07311887
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Alcohol use,Percent,2019,0.036687061538995085,0.04140586026234956,0.032619329840508006
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Alcohol use,Rate,2019,1201.8954496866986,1358.3037267654097,1064.4148450171378
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Alcohol use,Percent,2019,0.03433202089881474,0.038743359203517576,0.0305442108066318
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Alcohol use,Rate,2019,1126.6631630006257,1273.5787884885317,998.4431983562898
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Non-optimal temperature,Number,2019,37603449.41475478,44296862.24997828,32417838.379509624
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Non-optimal temperature,Percent,2019,0.014851051356047225,0.017763795460196664,0.012620664613707071
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Non-optimal temperature,Rate,2019,485.9918752185214,572.4984140076347,418.97236316854907
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Non-optimal temperature,Percent,2019,0.014710219891707682,0.01785490638413502,0.012502072300433185
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Non-optimal temperature,Rate,2019,482.24479876774507,582.2883645025827,413.74936153592967
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Kidney dysfunction,Number,2019,76486944.94458751,86284798.3750056,67791320.40698357
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Kidney dysfunction,Percent,2019,0.030184910521315427,0.03405572595668376,0.026464904593698328
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Kidney dysfunction,Rate,2019,988.5272330567187,1115.1559662148188,876.1438495906226
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Kidney dysfunction,Percent,2019,0.02881613549104401,0.032383543157627356,0.025220328627769722
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Kidney dysfunction,Rate,2019,945.3082775214781,1066.7725482075991,836.3301191983772
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High LDL cholesterol,Number,2019,98618020.78378923,118987709.31977518,80335172.42363814
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High LDL cholesterol,Percent,2019,0.03893241945917509,0.04739135523027716,0.03163915138051212
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High LDL cholesterol,Rate,2019,1274.5521380878147,1537.8126443257538,1038.2622259341915
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High LDL cholesterol,Percent,2019,0.03680999806662253,0.044988956705340956,0.02966912762594389
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High LDL cholesterol,Rate,2019,1207.1496189640718,1461.1063260546057,975.0670741589632
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Childhood sexual abuse and bullying,Number,2019,7331056.2524546785,12794757.925673407,3513988.9153230293
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Childhood sexual abuse and bullying,Percent,2019,0.002877125088005462,0.004904274636972261,0.0014008169730252188
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Childhood sexual abuse and bullying,Rate,2019,94.7475253178483,165.36111697309286,45.41525017076869
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Childhood sexual abuse and bullying,Percent,2019,0.002826570979777213,0.004843714998672952,0.001354919703804168
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Childhood sexual abuse and bullying,Rate,2019,93.22428804468416,162.69687850535456,43.989240260788705
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Unsafe sex,Number,2019,46645465.16697142,53526830.00579432,41865753.19999927
