,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
ENSG00000169136,2.15599817858282e-28,0.273882854987527,0.958,0.651,3.77040961470563e-24,1,ENSG00000169136
ENSG00000160888,4.40539680123879e-28,-0.336612971616099,0.916,0.986,7.7041579260064e-24,1,ENSG00000160888
ENSG00000112081,6.60987468203953e-28,0.261172660516364,1,1,1.15593488439507e-23,1,ENSG00000112081
ENSG00000169288,1.28358434083307e-27,0.28222660324428,1,0.993,2.24473229524888e-23,1,ENSG00000169288
ENSG00000099622,3.77278041358614e-27,0.311011867122984,1,0.967,6.59783838727944e-23,1,ENSG00000099622
ENSG00000117523,6.00529776700084e-27,-0.307957466731303,1,1,1.05020647349311e-22,1,ENSG00000117523
ENSG00000189171,1.33802558476306e-26,-0.306474854360111,0.947,0.986,2.33993914263364e-22,1,ENSG00000189171
ENSG00000145703,1.38838435130035e-26,-0.320094911959185,0.884,0.988,2.42800655355406e-22,1,ENSG00000145703
ENSG00000180694,1.7367808624123e-26,0.251635775966021,0.989,0.8,3.03728237218664e-22,1,ENSG00000180694
ENSG00000162194.1,1.87861449443651e-26,0.281104073678083,1,0.999,3.28532102787056e-22,1,ENSG00000162194
ENSG00000147601.1,2.45720487639231e-26,-0.37453269542224,1,1,4.29715988783488e-22,1,ENSG00000147601
ENSG00000165813,2.53062311542888e-26,-0.288273880770416,0.884,0.994,4.42555370426203e-22,1,ENSG00000165813
ENSG00000196950,2.59513886004884e-26,-0.314738815480688,1,1,4.53837883845341e-22,1,ENSG00000196950
ENSG00000120333,7.00823543491549e-26,-0.33787669880264,1,0.999,1.22560021285802e-21,1,ENSG00000120333
ENSG00000117318,8.36541855606375e-26,-0.404408782177614,1,1,1.46294439708443e-21,1,ENSG00000117318
ENSG00000109084,9.13866136111709e-26,0.263682637706913,1,1,1.59816909883216e-21,1,ENSG00000109084
ENSG00000181061,2.30258338619367e-25,0.25591450241276,1,1,4.02675782577548e-21,1,ENSG00000181061
ENSG00000026025.1,2.65201946282393e-25,0.437692419141535,1,0.95,4.63785163658649e-21,1,ENSG00000026025
ENSG00000133026,4.32857953326642e-25,-0.292384628005049,1,1,7.56981988777632e-21,1,ENSG00000133026
ENSG00000174938,8.48722686929701e-25,-0.309047210280772,0.968,0.999,1.48424623490266e-20,1,ENSG00000174938
ENSG00000043355,1.04613013849518e-24,-0.317674259368905,1,1,1.82947238620038e-20,1,ENSG00000043355
ENSG00000131473,1.298227127944e-24,0.257285528195309,1,1,2.27033960134847e-20,1,ENSG00000131473
ENSG00000146938,2.48650675959358e-24,-0.325572374391709,1,1,4.34840302117725e-20,1,ENSG00000146938
ENSG00000106603,2.76769423546933e-24,-0.258345053259634,1,1,4.84014367898876e-20,1,ENSG00000106603
ENSG00000113328,3.30797948991619e-24,-0.300611418025254,1,1,5.78499453196544e-20,1,ENSG00000113328
ENSG00000124193,1.17285241065496e-23,0.275402373498155,1,0.999,2.0510842957534e-19,1,ENSG00000124193
ENSG00000170561,1.43193200052411e-23,0.297757788891053,0.947,0.608,2.50416268251657e-19,1,ENSG00000170561
ENSG00000039068,2.23715953641281e-23,-0.290543156052993,1,1,3.91234459727872e-19,1,ENSG00000039068
ENSG00000159228,2.33200537616656e-23,-0.351722091814173,0.926,0.986,4.07821100184009e-19,1,ENSG00000159228
ENSG00000104341,3.69788680089359e-23,-0.295880936472126,1,1,6.46686443740272e-19,1,ENSG00000104341
ENSG00000140575,8.04117617111856e-23,-0.328759218032268,1,1,1.40624088880521e-18,1,ENSG00000140575
ENSG00000136108,1.60078834880514e-22,0.278006302148532,1,0.996,2.79945866439042e-18,1,ENSG00000136108
ENSG00000116017,2.98962404876821e-22,-0.286682616491512,0.989,0.997,5.22825453648585e-18,1,ENSG00000116017
ENSG00000241186,4.59953881840935e-22,-0.250480505063394,1,1,8.04367348563428e-18,1,ENSG00000241186
ENSG00000077684,1.14740096640776e-21,-0.263122995893198,1,1,2.00657481005389e-17,1,ENSG00000077684
ENSG00000111196,1.36631175757294e-21,0.270297475105434,1,0.996,2.38940600164356e-17,1,ENSG00000111196
ENSG00000163032,1.40972566776104e-21,-0.330077126807214,0.989,0.992,2.46532824778051e-17,1,ENSG00000163032
ENSG00000139364,1.4720264245357e-21,-0.317269963791307,0.937,0.972,2.57427981122804e-17,1,ENSG00000139364
ENSG00000018625,1.66965134825866e-21,-0.359476881673818,0.895,0.988,2.91988627783475e-17,1,ENSG00000018625
ENSG00000008083,1.74686225075658e-21,-0.291105400332087,1,1,3.05491270412311e-17,1,ENSG00000008083
ENSG00000143375,3.72297498402536e-21,-0.291161878522079,0.779,0.942,6.51073865206354e-17,1,ENSG00000143375
ENSG00000198721,5.70561986683574e-21,-0.266571164814548,0.979,0.997,9.97798802312234e-17,1,ENSG00000198721
