ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04061	Viral protein interaction with cytokine and cytokine receptor	86	0.498371277551845	1.9835479875558	1.42228419473416e-05	0.000613360058979106	0.000460370936716583	1708	tags=40%, list=14%, signal=34%	3627/10563/6373/4283/6362/6355/2921/6364/3576/6352/3559/1230/6347/3561/6351/1237/1236/11009/6354/6361/1234/6367/6375/6374/2919/8807/6360/6357/7124/29949/3569/4049/7852/4055
hsa05323	Rheumatoid arthritis	81	0.493413231583643	1.95182501502834	3.95959000852566e-05	0.00113838212745113	0.00085443784394501	1821	tags=36%, list=15%, signal=31%	4312/2921/6364/3576/8792/1493/6352/6347/3126/3112/4050/3458/50617/942/3689/3383/6374/1514/3600/2919/940/7422/533/7124/3569/7097/3119/9296/525
hsa04612	Antigen processing and presentation	64	0.480315896097559	1.83034116322402	0.000368641673578348	0.0063590688692265	0.00477293956317229	3211	tags=58%, list=26%, signal=43%	6890/3823/3126/3112/10437/3806/3458/1520/3824/925/3804/5641/8302/5721/3810/1514/115653/6891/7124/3119/8625/3135/3310/3134/3805/3109/811/2923/3108/3326/1508/3122/3106/926/3309/920/3803
hsa04115	p53 signaling pathway	66	0.473889960214982	1.81508120262438	0.000805350785379234	0.0109009624832025	0.00818195811096206	1053	tags=24%, list=9%, signal=22%	9133/6241/983/1111/891/51512/898/9134/5268/1029/2810/54205/1019/637/575/11200
hsa04064	NF-kappa B signaling pathway	92	0.462842029504006	1.85795101779062	9.93870808314718e-05	0.00244918163477556	0.00183828735974001	2295	tags=35%, list=19%, signal=28%	597/2921/3576/8792/3932/6351/330/3654/4050/4067/7412/959/5336/3383/2919/3929/7128/5588/6357/929/142/6850/7124/4049/5743/4055/7186/5971/958/1460/4792/7185
hsa04114	Oocyte meiosis	96	0.439284746282316	1.77074409500644	0.000442757594239741	0.00721980986775115	0.00541898772682466	876	tags=20%, list=7%, signal=19%	991/9133/983/4085/51806/6790/891/9232/5347/9700/898/9134/699/26271/114/5499/91860/9088/995
hsa05230	Central carbon metabolism in cancer	68	0.438777269035685	1.69677817473815	0.00189817111338033	0.017699163084222	0.0132844976925053	2355	tags=38%, list=19%, signal=31%	8140/5163/5214/4609/3945/3101/3948/57103/3418/9997/2539/5223/9123/6513/6510/5315/5160/5604/3091/3099/1956/5605/5594/5161/4893/3939
hsa05169	Epstein-Barr virus infection	193	0.429003182411705	1.90014040478412	2.9488681165689e-07	2.33323508786906e-05	1.75126111858364e-05	2744	tags=39%, list=23%, signal=31%	3627/890/6890/9636/898/9134/6502/6772/3126/3112/4609/917/5709/1869/3654/919/915/4067/4938/864/4940/5713/5336/11047/3066/54205/1871/578/1019/637/916/3383/4939/10213/4793/5603/7979/7128/6891/930/5714/3452/6850/5702/4794/7124/3569/7097/5708/2208/8772/3119/5704/7186/5971/3135/1380/958/5610/4792/10018/8819/3134/10379/9641/1147/5718/6300/3109/811/5606/2923/3108/5707/1432
hsa04914	Progesterone-mediated oocyte maturation	77	0.427879868072867	1.66615266493805	0.00305371707799027	0.025616289876072	0.0192268720351296	876	tags=17%, list=7%, signal=16%	9133/890/983/4085/6790/891/993/5347/994/699/114/9088/995
hsa03013	Nucleocytoplasmic transport	92	0.417681380862239	1.67666611331042	0.000980320944740587	0.0111208035149338	0.00834696465194118	4010	tags=51%, list=33%, signal=34%	55110/3838/9688/11260/9631/4116/1434/6396/23165/55706/9775/29107/23636/5905/5901/79711/4927/79902/10762/8480/26019/55308/4686/25909/9972/81929/64328/387082/57122/23534/8563/7514/3841/79023/3837/9818/56000/3839/6612/51068/9670/6613/55916/23511/30000/3836/23214
hsa04218	Cellular senescence	141	0.411288657301314	1.76415883651259	8.82490215175334e-05	0.00234199326334992	0.00175783476059216	1319	tags=18%, list=11%, signal=17%	2305/4605/9133/890/983/51806/1111/891/993/3576/1978/898/9134/4609/1869/1029/22808/1871/5499/91860/292/1019/11200/1875/5603/4683
hsa04620	Toll-like receptor signaling pathway	99	0.410245698367198	1.67002746673915	0.00128211017092272	0.0130096473225982	0.00976467808195014	2744	tags=35%, list=23%, signal=28%	3627/6373/4283/3576/6352/6772/51311/6351/3654/942/7096/6696/3929/5603/929/3452/5604/7124/3569/7097/8772/5605/958/5594/4792/10379/9641/3593/1147/3592/6300/10333/5606/3663/1432
