"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_24902","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas"
"ASV_24903","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ASV_24904","Bacteria","Myxococcota","Myxococcia","Myxococcales","27F-1492R",NA
"ASV_24905","Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade",NA,NA
"ASV_24906","Archaea","Halobacterota","Halobacteria","Halobacterales","Halomicrobiaceae","Candidatus Halobonum"
"ASV_24907","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722",NA
"ASV_24908","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV_24909","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"ASV_24910","Bacteria","SAR324 clade(Marine group B)",NA,NA,NA,NA
"ASV_24911","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II",NA,NA
"ASV_24912","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_24913","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_24914","Bacteria","Latescibacterota",NA,NA,NA,NA
"ASV_24915","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae","Salinarchaeum"
"ASV_24916","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae","Haloterrigena"
"ASV_24917","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_24918","Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA
"ASV_24919","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_24920","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_24921","Bacteria","Firmicutes","Bacilli","Bacillales","Salisediminibacteriaceae","Salipaludibacillus"
"ASV_24922","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"ASV_24923","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_24924","Bacteria","Gemmatimonadota","S0134 terrestrial group",NA,NA,NA
"ASV_24925","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_24926","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","GOUTA6"
"ASV_24927","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_24928","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"ASV_24929","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_24930","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_24931","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"ASV_24932","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter"
"ASV_24933","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_24934","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_24935","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_24936","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"ASV_24937","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_24938","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"ASV_24939","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV_24940","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_24941","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"ASV_24942","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"ASV_24943","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ASV_24944","Bacteria","Chloroflexi","Gitt-GS-136",NA,NA,NA
"ASV_24945","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_24946","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV_24947","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV_24948","Bacteria","NB1-j",NA,NA,NA,NA
"ASV_24949","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV_24950","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia"
"ASV_24951","Bacteria","Firmicutes",NA,NA,NA,NA
"ASV_24952","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage"
"ASV_24953","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","Nannocystis"
"ASV_24954","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,NA
"ASV_24955","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter"
"ASV_24956","Bacteria","Acidobacteriota","Blastocatellia","11月24日",NA,NA
"ASV_24957","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_24958","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,NA
"ASV_24959","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
"ASV_24960","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea"
"ASV_24961","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"ASV_24962","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ASV_24963","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"ASV_24964","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"ASV_24965","Bacteria","Acidobacteriota","Blastocatellia","DS-100",NA,NA
"ASV_24966","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_24967","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b",NA
