"","cellnumber","orig.ident","celltype","cluster"
"272",0,"HC","Stromal fibroblasts","cluster  8"
"273",0,"HC","Unciliated epithelial cells","cluster  8"
"274",0,"HC","Ciliated epithelial cells","cluster  9"
"275",0,"HC","Endothelial cells","cluster  9"
"276",22,"HC","Lymphocytes","cluster  9"
"277",0,"HC","Macrophages","cluster  9"
"278",0,"HC","Smooth muscle cells","cluster  9"
"279",0,"HC","Stromal fibroblasts","cluster  9"
"280",0,"HC","Unciliated epithelial cells","cluster  9"
"281",0,"HC","Ciliated epithelial cells","cluster  10"
"282",0,"HC","Endothelial cells","cluster  10"
"283",43,"HC","Lymphocytes","cluster  10"
"284",0,"HC","Macrophages","cluster  10"
"285",0,"HC","Smooth muscle cells","cluster  10"
"286",0,"HC","Stromal fibroblasts","cluster  10"
"287",0,"HC","Unciliated epithelial cells","cluster  10"
"288",0,"HC","Ciliated epithelial cells","cluster  11"
"289",0,"HC","Endothelial cells","cluster  11"
"290",89,"HC","Lymphocytes","cluster  11"
"291",0,"HC","Macrophages","cluster  11"
"292",0,"HC","Smooth muscle cells","cluster  11"
"293",0,"HC","Stromal fibroblasts","cluster  11"
"294",0,"HC","Unciliated epithelial cells","cluster  11"
"295",0,"HC","Ciliated epithelial cells","cluster  12"
"296",0,"HC","Endothelial cells","cluster  12"
"297",84,"HC","Lymphocytes","cluster  12"
"298",0,"HC","Macrophages","cluster  12"
"299",0,"HC","Smooth muscle cells","cluster  12"
"300",0,"HC","Stromal fibroblasts","cluster  12"
"301",0,"HC","Unciliated epithelial cells","cluster  12"
"302",0,"HC","Ciliated epithelial cells","cluster  13"
"303",0,"HC","Endothelial cells","cluster  13"
"304",0,"HC","Lymphocytes","cluster  13"
"305",0,"HC","Macrophages","cluster  13"
"306",0,"HC","Smooth muscle cells","cluster  13"
"307",35,"HC","Stromal fibroblasts","cluster  13"
"308",0,"HC","Unciliated epithelial cells","cluster  13"
"309",0,"HC","Ciliated epithelial cells","cluster  14"
"310",27,"HC","Endothelial cells","cluster  14"
"311",0,"HC","Lymphocytes","cluster  14"
"312",0,"HC","Macrophages","cluster  14"
"313",0,"HC","Smooth muscle cells","cluster  14"
"314",0,"HC","Stromal fibroblasts","cluster  14"
"315",0,"HC","Unciliated epithelial cells","cluster  14"
