gene,immune_cells,cor,p.value
ARHGAP31,Th17.cells,0.0604270121879983,0.125550416801177
ARHGAP31,Th2.cells,0.0298416978025438,0.449652467552721
ARHGAP31,TReg,0.0528941619306844,0.18003924444571
PNPT1,aDC,0.0216988987106233,0.582558594103902
PNPT1,B.cells,-0.201131595023051,2.64798677401578e-07
PNPT1,CD8.T.cells,-0.0699560638571632,0.0760613629986705
PNPT1,Cytotoxic.cells,-0.0044020533177744,0.911223747424021
PNPT1,DC,-0.185942368419367,2.02398516652047e-06
PNPT1,Eosinophils,-0.30115804695063,5.73175465286925e-15
PNPT1,iDC,-0.121681382583713,0.00197857052202692
PNPT1,Macrophages,-0.249689685704479,1.30866321367828e-10
PNPT1,Mast.cells,-0.227571975805897,5.19769281924991e-09
PNPT1,Neutrophils,-0.172004447155745,1.13738544595373e-05
PNPT1,NK.CD56bright.cells,0.308977888865782,1.03297794907972e-15
PNPT1,NK.CD56dim.cells,0.114648745891059,0.00357494955521614
PNPT1,NK.cells,0.18981598678755,1.22340727089644e-06
PNPT1,pDC,-0.181172058153353,3.70923196450861e-06
PNPT1,T.cells,-0.189744101503654,1.23500724477691e-06
PNPT1,T.helper.cells,-0.239404212442233,7.5889177312476e-10
PNPT1,Tcm,-0.24756875112142,1.89269498656855e-10
PNPT1,Tem,-0.137944721046995,0.000447028721329258
PNPT1,TFH,-0.143705595495041,0.000253437132013898
PNPT1,Tgd,-0.304224682057348,2.94517359016135e-15
PNPT1,Th1.cells,-0.171183624153938,1.25391971784237e-05
PNPT1,Th17.cells,0.0642014645379323,0.103574743722539
PNPT1,Th2.cells,-0.0521610150858625,0.186159278128857
PNPT1,TReg,0.0105891073274275,0.788540075289592
