TF,target,importance
PROX1,TGFBI,20.686509925710865
NR2F2,PTPRN2,20.668029744068953
PROX1,NID1,20.66709991192763
HMGN3,DHFR,20.653803265885273
MEOX1,KDR,20.634841203687763
NR4A1,NRARP,20.622531647186793
IRF6,PDPN,20.61342589388013
TAL1,TBX1,20.579679151270533
KLF9,SCN1B,20.577530632300558
CD59,PODXL,20.57477638461818
TAL1,RAMP3,20.574092050372503
KLF4,FOS,20.573509290259725
FOSL1,SDC4,20.553336851884193
FOS,CLEC14A,20.553096815118934
HOXD10,PDE1C,20.51558992788778
PEG3,RARRES2,20.514402259650844
HOXD10,STARD10,20.475369566288293
ANXA1,HIGD1A,20.452525295898806
CD59,COL18A1,20.42913149975603
ODC1,KLHL4,20.426657327215146
HOXD10,FAM162A,20.42383665200654
GATA2,NR2F2,20.420869624229585
TBX1,DSP,20.41853531451047
NR2F2,RHOJ,20.382115800324133
HES1,IGFBP7,20.370672050339078
HES1,ID3,20.360542342146417
TBX1,MAL,20.337679186409293
HOXD9,PKHD1L1,20.310155087057478
DAB2,FKBP9,20.29925493619771
ANXA1,CALD1,20.29696809351367
FOSL1,SPRY4,20.283868977463346
EZH2,CKAP4,20.27986310704935
EPAS1,TSC22D1,20.267761590775503
MEOX1,TFRC,20.248352327383127
KLF4,GDF15,20.24689356521331
HMGN3,PABPC4,20.228172173757347
SOX15,RGCC,20.219432469904106
EBF3,VWA1,20.213790796866764
CD59,ESAM,20.21164878866953
PHLDA2,SDC4,20.19244090559253
ERG,CTSK,20.180501391035204
KLF4,KLF9,20.177201031713263
IRF6,S100A6,20.17704140129755
HOXD9,PTPRN2,20.1738864662085
PIR,PRSS23,20.172409607680528
HOXD10,HIGD1A,20.168646924233236
KLF9,COL8A2,20.120700586118286
TBX1,TUBB2A,20.115891493162515
ATF3,ADAMTS1,20.10986892964078
ANXA1,LGALS1,20.10774708347547
KLF9,TBX1,20.101667395952685
TWIST1,HEYL,20.093177084475105
CD59,CRIP2,20.079310474257728
EZH2,MCM6,20.072063140454134
ERG,CDH5,20.06556875482673
FOXF1,TSPAN8,20.054932305520133
HOXD9,SEMA3D,20.02450418443599
NR2F2,FLT4,20.024395525317505
NR2F2,TGFBI,20.018930761070617
PRNP,HTRA1,20.015527440214445
ATF3,CD200,20.00170033513878
EZH2,QDPR,19.969354981827493
IRF6,CALD1,19.950654710304477
