ID	Type	TTYH3
TCGA-VQ-AA6G-01A-11R-A414-31	Tumor	44.87269
TCGA-D7-6822-01A-11R-1884-13	Tumor	120.8155
TCGA-CD-A4MH-01A-11R-A251-31	Tumor	148.5067
TCGA-CD-8527-01A-11R-2343-13	Tumor	14.71407
TCGA-CG-5716-01A-21R-1802-13	Tumor	20.71088
TCGA-F1-6874-01A-11R-1884-13	Tumor	50.07126
TCGA-D7-6524-01A-11R-1802-13	Tumor	65.21496
TCGA-BR-A4IV-01A-31R-A251-31	Tumor	15.7303
TCGA-HU-A4H6-01A-11R-A251-31	Tumor	18.54315
TCGA-BR-4368-01A-01R-1157-13	Tumor	11.54702
TCGA-BR-8485-01A-11R-2402-13	Tumor	87.39157
TCGA-BR-8683-01A-11R-2402-13	Tumor	52.22963
TCGA-IN-A6RS-01A-12R-A354-31	Tumor	25.69122
TCGA-BR-7958-01A-21R-2343-13	Tumor	79.81757
TCGA-RD-A8NB-01A-12R-A39E-31	Tumor	32.41054
TCGA-KB-A93G-01A-11R-A39E-31	Tumor	109.3221
TCGA-BR-6802-01A-11R-1884-13	Tumor	64.15212
TCGA-R5-A7ZR-01A-11R-A354-31	Tumor	17.26306
TCGA-BR-8682-01A-11R-2402-13	Tumor	36.11131
TCGA-IN-A6RL-01A-11R-A32D-31	Tumor	13.38157
TCGA-CG-4440-01A-01R-1157-13	Tumor	44.85441
TCGA-BR-7723-01A-11R-2055-13	Tumor	71.28674
TCGA-HF-A5NB-01A-11R-A31P-31	Tumor	30.9656
TCGA-BR-8059-01A-11R-2343-13	Tumor	49.63833
TCGA-BR-7197-01A-11R-2203-13	Tumor	187.0165
TCGA-IN-A6RJ-01A-21R-A33Y-31	Tumor	5.879076
TCGA-HJ-7597-01A-21R-2203-13	Tumor	30.36718
TCGA-BR-7959-01A-11R-2343-13	Tumor	67.92531
TCGA-BR-6452-01A-12R-1802-13	Tumor	54.65239
TCGA-BR-8483-01A-31R-2402-13	Tumor	45.64462
TCGA-CD-5799-01A-11R-1602-13	Tumor	38.03651
TCGA-BR-8297-01A-12R-2343-13	Tumor	9.810816
TCGA-D7-A748-01A-12R-A32D-31	Tumor	32.77792
TCGA-BR-8373-01A-11R-2343-13	Tumor	70.70669
TCGA-VQ-A923-01A-11R-A414-31	Tumor	41.24118
TCGA-BR-7716-01A-21R-2055-13	Tumor	125.0053
TCGA-BR-A4QL-01A-31R-A251-31	Tumor	10.52732
TCGA-BR-4357-01A-01R-1157-13	Tumor	40.00557
TCGA-BR-7717-01A-11R-2055-13	Tumor	25.07049
TCGA-BR-8284-01A-11R-2343-13	Tumor	24.7595
TCGA-D7-8575-01A-11R-2343-13	Tumor	61.30786
TCGA-BR-4363-01A-01R-1157-13	Tumor	27.02692
TCGA-BR-A44U-01A-11R-A36D-31	Tumor	30.252
TCGA-D7-6526-01A-11R-1802-13	Tumor	35.34899
TCGA-KB-A6F7-01A-12R-A32D-31	Tumor	30.81823
TCGA-ZQ-A9CR-01A-11R-A39E-31	Tumor	44.11237
TCGA-F1-A72C-01A-21R-A33Y-31	Tumor	19.92431
TCGA-BR-8484-01A-11R-2402-13	Tumor	23.26067
